asset,year,region,installed,technology,capacity
0,2050,Kenya,2020,Biomass Power Plant,0.13240000000
1,2050,Kenya,2020,Coal Power Plant,37.30350000000
1,2055,Kenya,2020,Coal Power Plant,37.30350000000
1,2059,Kenya,2020,Coal Power Plant,37.30350000000
3,2050,Kenya,2020,Large Hydropower Plant (Dam) (>100MW),0.73420000000
4,2050,Kenya,2020,Light Fuel Oil Power Plant,0.42300000000
5,2050,Kenya,2020,Medium Hydropower Plant (10-100MW),4.70770000000
6,2050,Kenya,2020,Oil Fired Gas Turbine (SCGT),0.65770000000
7,2050,Kenya,2020,Onshore Wind,0.45610000000
8,2050,Kenya,2020,Solar PV (Distributed with Storage),0.05570000000
9,2050,Kenya,2020,Solar PV (Utility),0.03530000000
10,2050,Kenya,2025,Coal Power Plant,31.22640000000
10,2055,Kenya,2025,Coal Power Plant,31.22640000000
10,2059,Kenya,2025,Coal Power Plant,31.22640000000
10,2060,Kenya,2025,Coal Power Plant,31.22640000000
10,2064,Kenya,2025,Coal Power Plant,31.22640000000
11,2050,Kenya,2030,Coal Power Plant,60.87330000000
11,2055,Kenya,2030,Coal Power Plant,60.87330000000
11,2059,Kenya,2030,Coal Power Plant,60.87330000000
11,2060,Kenya,2030,Coal Power Plant,60.87330000000
11,2064,Kenya,2030,Coal Power Plant,60.87330000000
11,2065,Kenya,2030,Coal Power Plant,60.87330000000
11,2069,Kenya,2030,Coal Power Plant,60.87330000000
12,2050,Kenya,2030,Gas Power Plant (SCGT),7.95060000000
12,2055,Kenya,2030,Gas Power Plant (SCGT),7.95060000000
12,2059,Kenya,2030,Gas Power Plant (SCGT),7.95060000000
13,2050,Kenya,2035,Coal Power Plant,56.41930000000
13,2055,Kenya,2035,Coal Power Plant,56.41930000000
13,2059,Kenya,2035,Coal Power Plant,56.41930000000
13,2060,Kenya,2035,Coal Power Plant,56.41930000000
13,2064,Kenya,2035,Coal Power Plant,56.41930000000
13,2065,Kenya,2035,Coal Power Plant,56.41930000000
13,2069,Kenya,2035,Coal Power Plant,56.41930000000
13,2070,Kenya,2035,Coal Power Plant,56.41930000000
13,2074,Kenya,2035,Coal Power Plant,56.41930000000
14,2050,Kenya,2035,Gas Power Plant (SCGT),3.96630000000
14,2055,Kenya,2035,Gas Power Plant (SCGT),3.96630000000
14,2059,Kenya,2035,Gas Power Plant (SCGT),3.96630000000
14,2060,Kenya,2035,Gas Power Plant (SCGT),3.96630000000
14,2064,Kenya,2035,Gas Power Plant (SCGT),3.96630000000
15,2050,Kenya,2040,Coal Power Plant,54.86880000000
15,2055,Kenya,2040,Coal Power Plant,54.86880000000
15,2059,Kenya,2040,Coal Power Plant,54.86880000000
15,2060,Kenya,2040,Coal Power Plant,54.86880000000
15,2064,Kenya,2040,Coal Power Plant,54.86880000000
15,2065,Kenya,2040,Coal Power Plant,54.86880000000
15,2069,Kenya,2040,Coal Power Plant,54.86880000000
15,2070,Kenya,2040,Coal Power Plant,54.86880000000
15,2074,Kenya,2040,Coal Power Plant,54.86880000000
15,2075,Kenya,2040,Coal Power Plant,54.86880000000
15,2079,Kenya,2040,Coal Power Plant,54.86880000000
16,2050,Kenya,2040,Gas Power Plant (SCGT),5.08980000000
16,2055,Kenya,2040,Gas Power Plant (SCGT),5.08980000000
16,2059,Kenya,2040,Gas Power Plant (SCGT),5.08980000000
16,2060,Kenya,2040,Gas Power Plant (SCGT),5.08980000000
