ProcessName,RegionName,Time,Level,CO2f,biomass,coal,gas,geothermal,hydro,oil,solar,uranium,wind,electricity
Unit,-,Year,-,kt/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ
Biomass Power Plant,Ethiopia,2020,fixed,9.999999999999999e-05,0.0,0,0,0,0.0,0,0.0,0,0.0,1
CSP with Storage,Ethiopia,2020,fixed,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
CSP without Storage,Ethiopia,2020,fixed,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
Large Hydropower Plant (Dam) (>100MW),Ethiopia,2020,fixed,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
Medium Hydropower Plant (10-100MW),Ethiopia,2020,fixed,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
Offshore Wind,Ethiopia,2020,fixed,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
Onshore Wind,Ethiopia,2020,fixed,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
Small Hydropower Plant (<10MW),Ethiopia,2020,fixed,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
Solar PV (Distributed with Storage),Ethiopia,2020,fixed,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
Solar PV (Utility),Ethiopia,2020,fixed,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
