,commodity,region,technology,year,supply
0,electricity,Kenya,Biomass Power Plant,2050,0.16700000000
1,electricity,Kenya,Biomass Power Plant,2050,0.16700000000
2,electricity,Kenya,Biomass Power Plant,2050,0.16700000000
3,electricity,Kenya,Biomass Power Plant,2050,0.16700000000
4,electricity,Kenya,Biomass Power Plant,2050,0.16700000000
5,electricity,Kenya,Biomass Power Plant,2050,0.16700000000
6,electricity,Kenya,Biomass Power Plant,2050,0.16700000000
7,electricity,Kenya,Biomass Power Plant,2050,0.16700000000
8,electricity,Kenya,Geothermal Power Plant,2050,1.22810000000
9,electricity,Kenya,Geothermal Power Plant,2050,1.22810000000
10,electricity,Kenya,Geothermal Power Plant,2050,1.22810000000
11,electricity,Kenya,Geothermal Power Plant,2050,1.22810000000
12,electricity,Kenya,Geothermal Power Plant,2050,1.22810000000
13,electricity,Kenya,Geothermal Power Plant,2050,1.22810000000
14,electricity,Kenya,Geothermal Power Plant,2050,1.22810000000
15,electricity,Kenya,Geothermal Power Plant,2050,1.22810000000
16,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2050,1.03390000000
17,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2050,1.03390000000
18,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2050,1.24430000000
19,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2050,1.24430000000
20,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2050,0.53790000000
21,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2050,0.53790000000
22,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2050,0.73360000000
23,electricity,Kenya,Large Hydropower Plant (Dam) (>100MW),2050,0.73360000000
24,electricity,Kenya,Light Fuel Oil Power Plant,2050,0.85330000000
25,electricity,Kenya,Light Fuel Oil Power Plant,2050,0.85330000000
26,electricity,Kenya,Light Fuel Oil Power Plant,2050,0.85330000000
27,electricity,Kenya,Light Fuel Oil Power Plant,2050,0.85330000000
28,electricity,Kenya,Light Fuel Oil Power Plant,2050,0.85330000000
29,electricity,Kenya,Light Fuel Oil Power Plant,2050,0.85330000000
30,electricity,Kenya,Light Fuel Oil Power Plant,2050,0.85330000000
31,electricity,Kenya,Light Fuel Oil Power Plant,2050,0.85330000000
32,electricity,Kenya,Medium Hydropower Plant (10-100MW),2050,0.51550000000
33,electricity,Kenya,Medium Hydropower Plant (10-100MW),2050,0.51550000000
34,electricity,Kenya,Medium Hydropower Plant (10-100MW),2050,0.62040000000
35,electricity,Kenya,Medium Hydropower Plant (10-100MW),2050,0.62040000000
36,electricity,Kenya,Medium Hydropower Plant (10-100MW),2050,0.26820000000
37,electricity,Kenya,Medium Hydropower Plant (10-100MW),2050,0.26820000000
38,electricity,Kenya,Medium Hydropower Plant (10-100MW),2050,0.36580000000
